item1	item2	item3	finalTemplate	finalScript	finalName	level
item_mustafar_wg_scroll	item_mustafar_wg_deed	item_mustafar_dg_shield_repair_kit	weapon_tow_sword_2h_05_02			LEVEL 21 ITEM
item_mustafar_wg_metallic_eye	item_mustafar_wg_pill_box	item_mustafar_dg_spray_bottle	weapon_tow_carbine_05_01			LEVEL 21 ITEM
item_mustafar_wg_metallic_eye	item_mustafar_wg_rod	item_mustafar_dg_medicine	weapon_tow_sword_1h_05_01			LEVEL 21 ITEM
item_mustafar_wg_splinters	item_mustafar_wg_engine	item_mustafar_dg_bottle	weapon_tow_polearm_05_01			LEVEL 21 ITEM
item_mustafar_wg_splinters	item_mustafar_wg_rod	item_mustafar_dg_battery	weapon_tow_sword_1h_05_02			LEVEL 21 ITEM
item_mustafar_wg_splinters	item_mustafar_wg_scroll	item_mustafar_dg_bone	item_tow_necklace_taming_03_04			LEVEL 21 ITEM
item_mustafar_wg_magseal_detector	item_mustafar_wg_deed	item_mustafar_dg_canister	weapon_tow_polearm_05_02			LEVEL 21 ITEM
item_mustafar_wg_aeromagnifier	item_mustafar_wg_pill_box	item_mustafar_dg_liquid	weapon_tow_pistol_05_01			LEVEL 21 ITEM
item_mustafar_wg_rod	item_mustafar_wg_pill_box	item_mustafar_fg_chemical_antidote	weapon_tow_sword_1h_04_02			LEVEL 19 ITEM
item_mustafar_wg_deed	item_mustafar_wg_rod	item_mustafar_fg_distress_beacon	weapon_tow_carbine_04_01			LEVEL 19 ITEM
item_mustafar_wg_scroll	item_mustafar_wg_pill_box	item_mustafar_fg_impulse_scanner	weapon_tow_sword_2h_04_01			LEVEL 19 ITEM
item_mustafar_wg_scroll	item_mustafar_wg_rod	item_mustafar_fg_powerpack	weapon_tow_rifle_04_01			LEVEL 19 ITEM
item_mustafar_wg_scroll	item_mustafar_wg_deed	item_mustafar_fg_chance_die	weapon_tow_rifle_04_02			LEVEL 19 ITEM
item_mustafar_wg_metallic_eye	item_mustafar_wg_skull	item_mustafar_fg_cyborg_kit	item_tow_bracelet_proc_melee_03_01			LEVEL 19 ITEM
item_mustafar_wg_metallic_eye	item_mustafar_wg_artifact	item_mustafar_fg_circuit_board	weapon_tow_cannon_04_01			LEVEL 19 ITEM
item_mustafar_wg_splinters	item_mustafar_wg_gravestone	item_mustafar_fg_fuse	weapon_tow_polearm_04_01			LEVEL 19 ITEM
item_mustafar_wg_splinters	item_mustafar_wg_artifact	item_mustafar_fg_slave_collar	weapon_tow_sword_2h_04_02			LEVEL 19 ITEM
item_mustafar_wg_magseal_detector	item_mustafar_wg_engine	item_mustafar_fg_comm_unit	weapon_tow_sword_1h_04_01			LEVEL 19 ITEM
item_mustafar_wg_magseal_detector	item_mustafar_wg_artifact	item_mustafar_fg_medical_enhancement	weapon_tow_polearm_04_02			LEVEL 19 ITEM
item_mustafar_wg_magseal_detector	item_mustafar_wg_metallic_eye	item_mustafar_fg_small_crate	weapon_tow_flamer_04_01			LEVEL 19 ITEM
item_mustafar_wg_aeromagnifier	item_mustafar_wg_skull	item_mustafar_fg_patch_of_hair	weapon_tow_pistol_04_01			LEVEL 19 ITEM
item_mustafar_wg_aeromagnifier	item_mustafar_wg_gravestone	item_mustafar_fg_feather	item_tow_bracelet_proc_rng_03_01			LEVEL 19 ITEM
item_mustafar_wg_aeromagnifier	item_mustafar_wg_splinters	item_mustafar_fg_retrofit_kit	item_tow_necklace_taming_03_03			LEVEL 19 ITEM
item_mustafar_wg_aeromagnifier	item_mustafar_wg_magseal_detector	item_mustafar_fg_radio	weapon_tow_pistol_04_02			LEVEL 19 ITEM
item_mustafar_wg_artifact	item_mustafar_dg_binoculars	item_mustafar_dg_shield_repair_kit	armor_tow_recon_stats_chest_03_01			LEVEL 15 ITEM
item_mustafar_wg_artifact	item_mustafar_dg_medicine	item_mustafar_dg_spray_bottle	armor_tow_battle_stats_chest_03_01			LEVEL 15 ITEM
item_mustafar_wg_artifact	item_mustafar_dg_battery	item_mustafar_dg_magnetite_cleaner	armor_tow_assault_stats_chest_03_01			LEVEL 15 ITEM
item_mustafar_wg_pill_box	item_mustafar_dg_bottle	item_mustafar_dg_device	armor_tow_battle_stats_leggings_03_01			LEVEL 15 ITEM
item_mustafar_wg_pill_box	item_mustafar_dg_medicine	item_mustafar_dg_bone	armor_tow_assault_stats_leggings_03_01			LEVEL 15 ITEM
item_mustafar_wg_pill_box	item_mustafar_dg_canister	item_mustafar_dg_id_badge	armor_tow_recon_stats_leggings_03_01			LEVEL 15 ITEM
item_mustafar_wg_rod	item_mustafar_dg_shield_repair_kit	item_mustafar_dg_magnetite_cleaner	armor_tow_assault_stats_helmet_03_01			LEVEL 15 ITEM
item_mustafar_wg_rod	item_mustafar_dg_canister	item_mustafar_dg_device	armor_tow_recon_stats_helmet_03_01			LEVEL 15 ITEM
item_mustafar_wg_rod	item_mustafar_dg_battery	item_mustafar_dg_bottle	armor_tow_battle_stats_helmet_03_01			LEVEL 15 ITEM
item_mustafar_wg_deed	item_mustafar_dg_id_badge	item_mustafar_dg_spray_bottle	armor_tow_battle_stats_bicep_l_03_01			LEVEL 15 ITEM
item_mustafar_wg_deed	item_mustafar_dg_bottle	item_mustafar_dg_id_badge	armor_tow_assault_stats_bicep_l_03_01			LEVEL 15 ITEM
item_mustafar_wg_deed	item_mustafar_dg_liquid	item_mustafar_dg_binoculars	armor_tow_recon_stats_bicep_l_03_01			LEVEL 15 ITEM
item_mustafar_wg_scroll	item_mustafar_dg_medicine	item_mustafar_dg_magnetite_cleaner	armor_tow_recon_stats_bicep_r_03_01			LEVEL 15 ITEM
item_mustafar_wg_scroll	item_mustafar_dg_liquid	item_mustafar_dg_spray_bottle	armor_tow_battle_stats_bicep_r_03_01			LEVEL 15 ITEM
item_mustafar_wg_scroll	item_mustafar_dg_battery	item_mustafar_dg_binoculars	armor_tow_assault_stats_bicep_r_03_01			LEVEL 15 ITEM
item_mustafar_wg_crystal	item_mustafar_dg_sphere_of_water	item_mustafar_dg_spool_of_wire	item_tow_schematic_display_case_02_01			LEVEL 15 ITEM
item_mustafar_wg_metallic_eye	item_mustafar_dg_device	item_mustafar_dg_bone	armor_tow_recon_stats_bracer_l_03_01			LEVEL 15 ITEM
item_mustafar_wg_metallic_eye	item_mustafar_dg_liquid	item_mustafar_dg_medicine	armor_tow_assault_stats_bracer_l_03_01			LEVEL 15 ITEM
item_mustafar_wg_metallic_eye	item_mustafar_dg_canister	item_mustafar_dg_shield_repair_kit	armor_tow_battle_stats_bracer_l_03_01			LEVEL 15 ITEM
item_mustafar_wg_splinters	item_mustafar_dg_shield_repair_kit	item_mustafar_dg_spray_bottle	armor_tow_assault_stats_bracer_r_03_01			LEVEL 15 ITEM
item_mustafar_wg_splinters	item_mustafar_dg_liquid	item_mustafar_dg_bone	item_tow_cube_combo_speed_02_02			LEVEL 15 ITEM
item_mustafar_wg_splinters	item_mustafar_dg_canister	item_mustafar_dg_id_badge	armor_tow_battle_stats_bracer_r_03_01			LEVEL 15 ITEM
item_mustafar_wg_splinters	item_mustafar_dg_battery	item_mustafar_dg_bone	armor_tow_recon_stats_bracer_r_03_01			LEVEL 15 ITEM
item_mustafar_wg_sensor_jammer	item_mustafar_dg_shisha	item_mustafar_dg_recording_rod	item_tow_schematic_radar_screen_02_01			LEVEL 15 ITEM
item_mustafar_wg_magseal_detector	item_mustafar_dg_binoculars	item_mustafar_dg_device	armor_tow_battle_stats_boots_03_01			LEVEL 15 ITEM
item_mustafar_wg_magseal_detector	item_mustafar_dg_bottle	item_mustafar_dg_magnetite_cleaner	armor_tow_recon_stats_boots_03_01			LEVEL 15 ITEM
item_mustafar_wg_magseal_detector	item_mustafar_dg_canister	item_mustafar_dg_bottle	armor_tow_assault_stats_boots_03_01			LEVEL 15 ITEM
item_mustafar_wg_aeromagnifier	item_mustafar_dg_spray_bottle	item_mustafar_dg_magnetite_cleaner	armor_tow_assault_stats_gloves_03_01			LEVEL 15 ITEM
item_mustafar_wg_aeromagnifier	item_mustafar_dg_binoculars	item_mustafar_dg_bone	armor_tow_battle_stats_gloves_03_01			LEVEL 15 ITEM
item_mustafar_wg_aeromagnifier	item_mustafar_dg_medicine	item_mustafar_dg_id_badge	item_tow_necklace_taming_03_02			LEVEL 15 ITEM
item_mustafar_wg_aeromagnifier	item_mustafar_dg_battery	item_mustafar_dg_liquid	armor_tow_recon_stats_gloves_03_01			LEVEL 15 ITEM
item_mustafar_wg_eyeball	item_mustafar_dg_sphere_of_water	item_mustafar_dg_ammo_box	item_tow_schematic_tech_analyzer_02_01			LEVEL 15 ITEM
item_mustafar_wg_engine	item_mustafar_dg_id_badge	item_mustafar_fg_module_interface	item_tow_decor_lava_geode_02_01			LEVEL 13 ITEM
item_mustafar_wg_artifact	item_mustafar_dg_spray_bottle	item_mustafar_fg_retrofit_kit	weapon_tow_rifle_03_02			LEVEL 13 ITEM
item_mustafar_wg_artifact	item_mustafar_dg_binoculars	item_mustafar_fg_ambush_detector	weapon_tow_sword_2h_03_02			LEVEL 13 ITEM
item_mustafar_wg_pill_box	item_mustafar_dg_device	item_mustafar_fg_impulse_detector	weapon_tow_cannon_03_01			LEVEL 13 ITEM
item_mustafar_wg_pill_box	item_mustafar_dg_battery	item_mustafar_fg_module_interface	weapon_tow_carbine_03_01			LEVEL 13 ITEM
item_mustafar_wg_rod	item_mustafar_dg_shield_repair_kit	item_mustafar_fg_document	weapon_tow_rifle_03_01			LEVEL 13 ITEM
item_mustafar_wg_rod	item_mustafar_dg_bottle	item_mustafar_fg_booster	weapon_tow_sword_1h_03_02			LEVEL 13 ITEM
item_mustafar_wg_deed	item_mustafar_dg_bone	item_mustafar_fg_document	weapon_tow_polearm_03_01			LEVEL 13 ITEM
item_mustafar_wg_deed	item_mustafar_dg_liquid	item_mustafar_fg_brazier	weapon_tow_sword_1h_03_01			LEVEL 13 ITEM
item_mustafar_wg_scroll	item_mustafar_dg_magnetite_cleaner	item_mustafar_fg_decrypter	weapon_tow_pistol_03_01			LEVEL 13 ITEM
item_mustafar_wg_crystal	item_mustafar_dg_recording_rod	item_mustafar_fg_brazier	item_tow_schematic_mustafarian_table_02_02			LEVEL 13 ITEM
item_mustafar_wg_metallic_eye	item_mustafar_dg_spray_bottle	item_mustafar_fg_homing_beacon	weapon_tow_sword_2h_03_01			LEVEL 13 ITEM
item_mustafar_wg_metallic_eye	item_mustafar_dg_medicine	item_mustafar_fg_comm_unit	weapon_tow_polearm_03_02			LEVEL 13 ITEM
item_mustafar_wg_splinters	item_mustafar_dg_canister	item_mustafar_fg_medical_enhancement	weapon_tow_flamer_03_01			LEVEL 13 ITEM
item_mustafar_wg_sensor_jammer	item_mustafar_dg_shisha	item_mustafar_fg_distress_beacon	item_tow_schematic_mustafarian_table_02_01			LEVEL 13 ITEM
item_mustafar_wg_magseal_detector	item_mustafar_dg_device	item_mustafar_fg_impulse_detector	item_tow_necklace_taming_03_01			LEVEL 13 ITEM
item_mustafar_wg_magseal_detector	item_mustafar_dg_magnetite_cleaner	item_mustafar_fg_small_crate	item_tow_cube_combo_speed_02_01			LEVEL 13 ITEM
item_mustafar_wg_aeromagnifier	item_mustafar_dg_id_badge	item_mustafar_fg_camera	weapon_tow_pistol_03_02			LEVEL 13 ITEM
item_mustafar_wg_aeromagnifier	item_mustafar_dg_canister	item_mustafar_fg_camera	item_tow_haste_02_04			LEVEL 13 ITEM
item_mustafar_wg_eyeball	item_mustafar_dg_ammo_box	item_mustafar_fg_slave_collar	item_tow_schematic_mustafarian_chair_02_01			LEVEL 13 ITEM
item_mustafar_wg_artifact	item_mustafar_fg_small_crate	item_mustafar_fg_comm_unit	armor_tow_recon_bicep_r_03_01			LEVEL 11 ITEM
item_mustafar_wg_artifact	item_mustafar_fg_chance_die	item_mustafar_fg_circuit_board	item_tow_haste_02_02			LEVEL 11 ITEM
item_mustafar_wg_artifact	item_mustafar_fg_homing_beacon	item_mustafar_fg_medical_enhancement	armor_tow_battle_bicep_r_03_01			LEVEL 11 ITEM
item_mustafar_wg_artifact	item_mustafar_fg_module_interface	item_mustafar_fg_impulse_detector	armor_tow_assault_bicep_r_03_01			LEVEL 11 ITEM
item_mustafar_wg_pill_box	item_mustafar_fg_distress_beacon	item_mustafar_fg_patch_of_hair	armor_tow_battle_bicep_l_03_01			LEVEL 11 ITEM
item_mustafar_wg_pill_box	item_mustafar_fg_cyborg_kit	item_mustafar_fg_circuit_board	item_tow_haste_02_03			LEVEL 11 ITEM
item_mustafar_wg_pill_box	item_mustafar_fg_chance_die	item_mustafar_fg_powerpack	armor_tow_recon_bicep_l_03_01			LEVEL 11 ITEM
item_mustafar_wg_pill_box	item_mustafar_fg_booster	item_mustafar_fg_feather	armor_tow_assault_bicep_l_03_01			LEVEL 11 ITEM
item_mustafar_wg_rod	item_mustafar_fg_small_crate	item_mustafar_fg_powerpack	armor_tow_assault_helmet_03_01			LEVEL 11 ITEM
item_mustafar_wg_rod	item_mustafar_fg_chance_die	item_mustafar_fg_patch_of_hair	armor_tow_battle_helmet_03_01			LEVEL 11 ITEM
item_mustafar_wg_rod	item_mustafar_fg_homing_beacon	item_mustafar_fg_fuse	item_tow_proc_b_02_06			LEVEL 11 ITEM
item_mustafar_wg_rod	item_mustafar_fg_decrypter	item_mustafar_fg_cyborg_kit	armor_tow_recon_helmet_03_01			LEVEL 11 ITEM
item_mustafar_wg_deed	item_mustafar_fg_distress_beacon	item_mustafar_fg_circuit_board	armor_tow_assault_leggings_03_01			LEVEL 11 ITEM
item_mustafar_wg_deed	item_mustafar_fg_cyborg_kit	item_mustafar_fg_comm_unit	armor_tow_battle_leggings_03_01			LEVEL 11 ITEM
item_mustafar_wg_deed	item_mustafar_fg_brazier	item_mustafar_fg_chemical_antidote	item_tow_proc_a_02_06			LEVEL 11 ITEM
item_mustafar_wg_deed	item_mustafar_fg_module_interface	item_mustafar_fg_ambush_detector	armor_tow_recon_leggings_03_01			LEVEL 11 ITEM
item_mustafar_wg_scroll	item_mustafar_fg_chance_die	item_mustafar_fg_medical_enhancement	armor_tow_assault_chest_03_01			LEVEL 11 ITEM
item_mustafar_wg_scroll	item_mustafar_fg_ambush_detector	item_mustafar_fg_small_crate	item_tow_cube_combo_ds_02_06			LEVEL 11 ITEM
item_mustafar_wg_scroll	item_mustafar_fg_camera	item_mustafar_fg_brazier	armor_tow_recon_chest_03_01			LEVEL 11 ITEM
item_mustafar_wg_scroll	item_mustafar_fg_decrypter	item_mustafar_fg_chemical_antidote	armor_tow_battle_chest_03_01			LEVEL 11 ITEM
item_mustafar_wg_crystal	item_mustafar_fg_small_crate	item_mustafar_fg_fuse	item_tow_schematic_sword_03_03			LEVEL 11 ITEM
item_mustafar_wg_crystal	item_mustafar_fg_ambush_detector	item_mustafar_fg_cyborg_kit	item_tow_schematic_pistol_03_01			LEVEL 11 ITEM
item_mustafar_wg_crystal	item_mustafar_fg_brazier	item_mustafar_fg_chance_die	item_tow_schematic_rifle_03_01			LEVEL 11 ITEM
item_mustafar_wg_crystal	item_mustafar_fg_module_interface	item_mustafar_fg_retrofit_kit	item_tow_schematic_lance_03_02			LEVEL 11 ITEM
item_mustafar_wg_crystal	item_mustafar_fg_document	item_mustafar_fg_booster	item_tow_schematic_jedi_statue_02_01			LEVEL 11 ITEM
item_mustafar_wg_metallic_eye	item_mustafar_fg_feather	item_mustafar_fg_retrofit_kit	armor_tow_battle_boots_03_01			LEVEL 11 ITEM
item_mustafar_wg_metallic_eye	item_mustafar_fg_impulse_detector	item_mustafar_fg_comm_unit	armor_tow_recon_boots_03_01			LEVEL 11 ITEM
item_mustafar_wg_metallic_eye	item_mustafar_fg_ambush_detector	item_mustafar_fg_retrofit_kit	armor_tow_assault_boots_03_01			LEVEL 11 ITEM
item_mustafar_wg_splinters	item_mustafar_fg_impulse_detector	item_mustafar_fg_slave_collar	armor_tow_battle_gloves_03_01			LEVEL 11 ITEM
item_mustafar_wg_splinters	item_mustafar_fg_brazier	item_mustafar_fg_fuse	armor_tow_assault_gloves_03_01			LEVEL 11 ITEM
item_mustafar_wg_splinters	item_mustafar_fg_module_interface	item_mustafar_fg_medical_enhancement	armor_tow_recon_gloves_03_01			LEVEL 11 ITEM
item_mustafar_wg_sensor_jammer	item_mustafar_fg_chemical_antidote	item_mustafar_fg_impulse_scanner	item_tow_schematic_carbine_03_01			LEVEL 11 ITEM
item_mustafar_wg_sensor_jammer	item_mustafar_fg_homing_beacon	item_mustafar_fg_powerpack	item_tow_schematic_lance_03_01			LEVEL 11 ITEM
item_mustafar_wg_sensor_jammer	item_mustafar_fg_booster	item_mustafar_fg_radio	item_tow_schematic_cannon_03_01			LEVEL 11 ITEM
item_mustafar_wg_sensor_jammer	item_mustafar_fg_camera	item_mustafar_fg_feather	item_tow_schematic_jedi_relic_02_01			LEVEL 11 ITEM
item_mustafar_wg_sensor_jammer	item_mustafar_fg_document	item_mustafar_fg_distress_beacon	item_tow_schematic_sword_03_02			LEVEL 11 ITEM
item_mustafar_wg_magseal_detector	item_mustafar_fg_booster	item_mustafar_fg_distress_beacon	armor_tow_recon_bracer_r_03_01			LEVEL 11 ITEM
item_mustafar_wg_magseal_detector	item_mustafar_fg_camera	item_mustafar_fg_radio	armor_tow_assault_bracer_r_03_01			LEVEL 11 ITEM
item_mustafar_wg_magseal_detector	item_mustafar_fg_document	item_mustafar_fg_circuit_board	armor_tow_battle_bracer_r_03_01			LEVEL 11 ITEM
item_mustafar_wg_aeromagnifier	item_mustafar_fg_chemical_antidote	item_mustafar_fg_fuse	armor_tow_recon_bracer_l_03_01			LEVEL 11 ITEM
item_mustafar_wg_aeromagnifier	item_mustafar_fg_radio	item_mustafar_fg_impulse_scanner	armor_tow_battle_bracer_l_03_01			LEVEL 11 ITEM
item_mustafar_wg_aeromagnifier	item_mustafar_fg_document	item_mustafar_fg_impulse_scanner	armor_tow_assault_bracer_l_03_01			LEVEL 11 ITEM
item_mustafar_wg_eyeball	item_mustafar_fg_slave_collar	item_mustafar_fg_patch_of_hair	item_tow_schematic_flamer_03_01			LEVEL 11 ITEM
item_mustafar_wg_eyeball	item_mustafar_fg_impulse_detector	item_mustafar_fg_feather	item_tow_schematic_sword_03_01			LEVEL 11 ITEM
item_mustafar_wg_eyeball	item_mustafar_fg_homing_beacon	item_mustafar_fg_slave_collar	item_tow_schematic_rifle_03_02			LEVEL 11 ITEM
item_mustafar_wg_eyeball	item_mustafar_fg_camera	item_mustafar_fg_medical_enhancement	item_tow_schematic_sword_03_04			LEVEL 11 ITEM
item_mustafar_wg_eyeball	item_mustafar_fg_decrypter	item_mustafar_fg_circuit_board	item_tow_schematic_pistol_03_02			LEVEL 11 ITEM
item_mustafar_dg_device	item_mustafar_dg_bone	item_mustafar_dg_droid_interface	item_tow_fire_res_abs_02_05			LEVEL 09 ITEM
item_mustafar_dg_magnetite_cleaner	item_mustafar_dg_device	item_mustafar_dg_droid_interface	item_tow_poison_res_abs_02_06			LEVEL 09 ITEM
item_mustafar_dg_shield_repair_kit	item_mustafar_dg_bacta_ampule	item_mustafar_dg_bone	item_tow_cube_combo_acc_02_06			LEVEL 09 ITEM
item_mustafar_dg_shield_repair_kit	item_mustafar_dg_magnetite_cleaner	item_mustafar_dg_droid_interface	item_tow_cube_rng_ds_02_06			LEVEL 09 ITEM
item_mustafar_dg_shield_repair_kit	item_mustafar_dg_magnetite_cleaner	item_mustafar_dg_ledger	item_tow_cube_private_def_02_06			LEVEL 09 ITEM
item_mustafar_dg_ammo_box	item_mustafar_dg_shisha	item_mustafar_dg_recording_rod	item_tow_decor_painting_02_02			LEVEL 09 ITEM
item_mustafar_dg_binoculars	item_mustafar_dg_magnetite_cleaner	item_mustafar_dg_device	item_tow_cube_combo_ds_02_05			LEVEL 09 ITEM
item_mustafar_dg_binoculars	item_mustafar_dg_spray_bottle	item_mustafar_dg_bacta_ampule	item_tow_cube_private_def_02_05			LEVEL 09 ITEM
item_mustafar_dg_id_badge	item_mustafar_dg_spray_bottle	item_mustafar_dg_magnetite_cleaner	weapon_tow_carbine_02_01			LEVEL 09 ITEM
item_mustafar_dg_id_badge	item_mustafar_dg_binoculars	item_mustafar_dg_shield_repair_kit	item_tow_proc_a_02_05			LEVEL 09 ITEM
item_mustafar_dg_sphere_of_water	item_mustafar_dg_recording_rod	item_mustafar_dg_spool_of_wire	item_tow_decor_sith_relic_02_01			LEVEL 09 ITEM
item_mustafar_dg_sphere_of_water	item_mustafar_dg_ammo_box	item_mustafar_dg_spool_of_wire	item_tow_decor_painting_02_04			LEVEL 09 ITEM
item_mustafar_dg_sphere_of_water	item_mustafar_dg_ammo_box	item_mustafar_dg_shisha	item_tow_decor_jedi_relic_02_03			LEVEL 09 ITEM
item_mustafar_dg_bottle	item_mustafar_dg_spray_bottle	item_mustafar_dg_bone	item_tow_proc_a_02_04			LEVEL 09 ITEM
item_mustafar_dg_bottle	item_mustafar_dg_shield_repair_kit	item_mustafar_dg_device	weapon_tow_pistol_02_01			LEVEL 09 ITEM
item_mustafar_dg_bottle	item_mustafar_dg_id_badge	item_mustafar_dg_droid_interface	weapon_tow_polearm_02_01			LEVEL 09 ITEM
item_mustafar_dg_medicine	item_mustafar_dg_spray_bottle	item_mustafar_dg_device	weapon_tow_sword_1h_02_01			LEVEL 09 ITEM
item_mustafar_dg_medicine	item_mustafar_dg_spray_bottle	item_mustafar_dg_magnetite_cleaner	weapon_tow_flamer_02_01			LEVEL 09 ITEM
item_mustafar_dg_medicine	item_mustafar_dg_binoculars	item_mustafar_dg_device	weapon_tow_rifle_02_01			LEVEL 09 ITEM
item_mustafar_dg_medicine	item_mustafar_dg_bottle	item_mustafar_dg_binoculars	weapon_tow_sword_2h_02_01			LEVEL 09 ITEM
item_mustafar_dg_liquid	item_mustafar_dg_spray_bottle	item_mustafar_dg_ledger	item_tow_cube_combo_acc_02_05			LEVEL 09 ITEM
item_mustafar_dg_liquid	item_mustafar_dg_shield_repair_kit	item_mustafar_dg_spray_bottle	item_tow_bleed_res_abs_02_06			LEVEL 09 ITEM
item_mustafar_dg_liquid	item_mustafar_dg_binoculars	item_mustafar_dg_droid_interface	weapon_tow_pistol_02_02			LEVEL 09 ITEM
item_mustafar_dg_liquid	item_mustafar_dg_id_badge	item_mustafar_dg_bone	weapon_tow_sword_2h_02_02			LEVEL 09 ITEM
item_mustafar_dg_liquid	item_mustafar_dg_id_badge	item_mustafar_dg_shield_repair_kit	item_tow_proc_b_02_05			LEVEL 09 ITEM
item_mustafar_dg_liquid	item_mustafar_dg_bottle	item_mustafar_dg_id_badge	weapon_tow_rifle_02_02			LEVEL 09 ITEM
item_mustafar_dg_liquid	item_mustafar_dg_medicine	item_mustafar_dg_droid_interface	item_tow_cube_melee_ds_02_06			LEVEL 09 ITEM
item_mustafar_dg_canister	item_mustafar_dg_magnetite_cleaner	item_mustafar_dg_bone	item_tow_bleed_res_abs_02_05			LEVEL 09 ITEM
item_mustafar_dg_canister	item_mustafar_dg_spray_bottle	item_mustafar_dg_magnetite_cleaner	item_tow_proc_b_02_04			LEVEL 09 ITEM
item_mustafar_dg_canister	item_mustafar_dg_shield_repair_kit	item_mustafar_dg_bone	weapon_tow_polearm_02_02			LEVEL 09 ITEM
item_mustafar_dg_canister	item_mustafar_dg_binoculars	item_mustafar_dg_spray_bottle	item_tow_decor_stuffed_rancor_02_01			LEVEL 09 ITEM
item_mustafar_dg_canister	item_mustafar_dg_bottle	item_mustafar_dg_binoculars	item_tow_poison_res_abs_02_05			LEVEL 09 ITEM
item_mustafar_dg_canister	item_mustafar_dg_medicine	item_mustafar_dg_id_badge	item_tow_disease_res_abs_02_06			LEVEL 09 ITEM
item_mustafar_dg_canister	item_mustafar_dg_liquid	item_mustafar_dg_medicine	item_tow_proc_b_02_04			LEVEL 09 ITEM
item_mustafar_dg_battery	item_mustafar_dg_bone	item_mustafar_dg_droid_interface	item_tow_haste_02_01			LEVEL 09 ITEM
item_mustafar_dg_battery	item_mustafar_dg_device	item_mustafar_dg_droid_interface	item_tow_fire_res_abs_02_06			LEVEL 09 ITEM
item_mustafar_dg_battery	item_mustafar_dg_binoculars	item_mustafar_dg_shield_repair_kit	weapon_tow_sword_1h_02_02			LEVEL 09 ITEM
item_mustafar_dg_battery	item_mustafar_dg_bottle	item_mustafar_dg_bone	item_tow_bracelet_survey_03_01			LEVEL 09 ITEM
item_mustafar_dg_battery	item_mustafar_dg_medicine	item_mustafar_dg_id_badge	item_tow_cube_all_stats_02_01			LEVEL 09 ITEM
item_mustafar_dg_battery	item_mustafar_dg_liquid	item_mustafar_dg_bottle	item_tow_disease_res_abs_02_05			LEVEL 09 ITEM
item_mustafar_dg_battery	item_mustafar_dg_canister	item_mustafar_dg_id_badge	item_tow_cube_combo_ds_02_04			LEVEL 09 ITEM
item_mustafar_dg_battery	item_mustafar_dg_battery	item_mustafar_dg_magnetite_cleaner	weapon_tow_cannon_02_01			LEVEL 09 ITEM
item_mustafar_dg_device	item_mustafar_dg_droid_interface	item_mustafar_fg_brazier	item_tow_proc_a_02_02			LEVEL 07 ITEM
item_mustafar_dg_device	item_mustafar_dg_bone	item_mustafar_fg_retrofit_kit	item_tow_bleed_res_abs_02_04			LEVEL 07 ITEM
item_mustafar_dg_ledger	item_mustafar_dg_droid_interface	item_mustafar_fg_cyborg_kit	item_tow_cube_melee_acc_02_05			LEVEL 07 ITEM
item_mustafar_dg_ledger	item_mustafar_dg_device	item_mustafar_fg_circuit_board	item_tow_cube_const_stamina_willpower_02_02			LEVEL 07 ITEM
item_mustafar_dg_bacta_ampule	item_mustafar_dg_droid_interface	item_mustafar_fg_module_interface	item_tow_disease_res_02_05			LEVEL 07 ITEM
item_mustafar_dg_bacta_ampule	item_mustafar_dg_bone	item_mustafar_fg_homing_beacon	item_tow_cube_health_willpower_02_04			LEVEL 07 ITEM
