root_color	sub_color
yellow	lightyellow
yellow	light_gold
yellow	light_orange
yellow	macaroni_and_cheese
yellow	mintcream
yellow	moccasin
yellow	mustard_yellow
yellow	navajowhite
yellow	neon_yellow
yellow	palegoldenrod
yellow	papayawhip
yellow	parchment
yellow	pastel_yellow
yellow	peachpuff
yellow	peach
yellow	rubber_ducky_yellow
yellow	saffron
yellow	sun_yellow
yellow	tan_brown
yellow	vanilla
yellow	wheat
yellow	yellow
yellow	yellow_orange
