item	cash	token0	token1	token2	token3	token4	class	script	note
item_ring_set_ent_01_01		2	2	2			9		entertainer
item_heroic_schematic_backpack_01_09		10	10	10	15	15			
item_heroic_schematic_backpack_01_08		25	25	25	30	30			
item_heroic_schematic_backpack_01_07		25	25	25	30	30			
item_force_crystal_04_01		10	10			15			
item_force_crystal_04_02				10	10	15
item_tcg_loot_reward_series1_organa_speeder		16	16	16	16	16			HJ-2 Organa Airspeeder
item_tcg_loot_reward_series8_bespin_lamp_off		8	8	8	8	8			Cloud City Lamp
item_tcg_loot_reward_series8_bespin_shelves		8	8	8	8	8			Cloud City Shelves
item_tcg_loot_reward_series8_glowly_sculpture		8	8	8	8	8			Torture Table
item_tcg_loot_reward_series8_torture_table		8	8	8	8	8			Torture Table
item_heroic_tusken_meat_rack			2						
item_heroic_tusken_shelves			3						
item_heroic_tusken_stairs			3						
item_heroic_tusken_vent_pillar			5						
item_heroic_ig88_sm_generator				5					
item_heroic_ig88_wall_lamp				3					
item_heroic_axkva_min_claw		5							
item_heroic_axkva_min_claw_light		3							
item_heroic_axkva_min_crystal_s01		5							
item_heroic_axkva_min_crystal_s02		3							
item_heroic_axkva_min_crystal_s03		1							
item_heroic_destroyer_cooling_coil					2				
item_heroic_destroyer_power_transformer					3				
item_heroic_destroyer_solar_console					5				
item_heroic_destroyer_space_beacon					4				
item_heroic_exar_brazier						4			
item_heroic_exar_claw_s01						2			
item_heroic_exar_claw_s02						2			
item_heroic_exar_roots_s01						1			
item_heroic_exar_roots_s02						1			
item_heroic_exar_roots_s03						1			
item_heroic_exar_roots_s04						1			
item_heroic_exar_torch						4			
